filename,artist,name,price,img
Handloo work,Rajesh Kumar,Khadi Cotton Dupatta,350,hw-01.png
Handloo work,Rajesh Kumar,Cotton Silk Mixed Dupatta,250,hw-02.png
Handloo work,Rajesh Kumar,Cotton Silk Mixed Dupatta,250,hw-03.png
Handloo work,Rajesh Kumar,Cotton Silk Mixed Dupatta,250,hw-04.png
Handloo work,Rajesh Kumar,Khadi Cotton Print Dupatta,350,hw-05.png
Handloo work,Rajesh Kumar,Khadi Cotton Print Dupatta,350,hw-06.png
Handloo work,Rajesh Kumar,Khadi Cotton Print Dupatta,350,hw-07.png
Handloo work,Rajesh Kumar,Khadi Cotton Print Dupatta,350,hw-08.png
Madhubani work on paper mache,Ashis Kumar,Ludo Game,350,mapm-01.png
Madhubani work on paper mache,Ashis Kumar,Small Bowl,150,mapm-02.png
Madhubani work on paper mache,Ashis Kumar,Big Bowl,250,mapm-03.png
Madhubani work on paper mache,Ashis Kumar,Small Elephant,150,mapm-04.png
Madhubani work on paper mache,Ashis Kumar,Lion,350,mapm-05.png
Madhubani work on paper mache,Ashis Kumar,Lampshade,300,mapm-06.png
Madhubani work on paper mache,Ashis Kumar,Cow,350,mapm-07.png
Madhubani work on paper mache,Ashis Kumar,Snake Laddar with Dice,350,mapm-08.png
Madhubani work on paper mache,Ashis Kumar,Wastebin,250,mapm-09.png
Madhubani work on paper mache,Ashis Kumar,Penholder,150,mapm-10.png
Pattachitra,Surendranath Acharya,"Work size - 11"" × 6""",350,p-01.png
Pattachitra,Surendranath Acharya,"Work size - 11"" × 6""",350,p-02.png
Pattachitra,Surendranath Acharya,"Work size - 11"" × 6""",350,p-03.png
Pattachitra,Surendranath Acharya,"Work size - 11"" × 6""",350,p-04.png
Pattachitra,Surendranath Acharya,"Work size - 15"" × 6""",350,p-05.png
Pattachitra,Surendranath Acharya,"Work size - 15"" × 6""",350,p-06.png
Pattachitra,Surendranath Acharya,"Work size - 15"" × 6""",350,p-07.png
Pattachitra,Surendranath Acharya,"Work size - 5"" × 5""",170,p-08.png
Pattachitra,Surendranath Acharya,"Work size - 10"" × 8""",300,p-09.png
Pattachitra,Surendranath Acharya,"Work size - 11"" × 8""",300,p-10.png
Pattachitra,Surendranath Acharya,"Work size - 6""",50,p-11.png
Pattachitra,Surendranath Acharya,"Work size - 11"" × 6""",350,p-12.png
Pattachitra,Surendranath Acharya,"Work size - 6"" × 6""",250,p-13.png
Pattachitra,Surendranath Acharya,"Work size - 6""",50,p-14.png
Pottery work,Ashok Kumar,,50,pw-01.png
Pottery work,Ashok Kumar,,100,pw-02.png
Pottery work,Ashok Kumar,,80,pw-03.png
Pottery work,Ashok Kumar,,80,pw-04.png
Pottery work,Ashok Kumar,,50,pw-05.png
Pottery work,Ashok Kumar,,50,pw-06.png
Pottery work,Ashok Kumar,,100,pw-07.png
Pottery work,Ashok Kumar,,100,pw-08.png
Pottery work,Ashok Kumar,,100,pw-09.png
Pottery work,Ashok Kumar,,50,pw-10.png
Pottery work,Ashok Kumar,,200,pw-11.png
Pottery work,Ashok Kumar,,200,pw-12.png
Pottery work,Ashok Kumar,,150,pw-13.png
Pottery work,Ashok Kumar,,200,pw-14.png
Straw weavers,Surendree Devi,,100,sw-01.png
Straw weavers,Surendree Devi,,350,sw-02.png
Straw weavers,Surendree Devi,,200,sw-03.png
Straw weavers,Surendree Devi,,100,sw-04.png
Straw weavers,Surendree Devi,,200,sw-05.png
Straw weavers,Surendree Devi,,150,sw-06.png
Straw weavers,Surendree Devi,,100,sw-07.png
Straw weavers,Surendree Devi,,150,sw-08.png